Sample,agent,sample/agent,Activation temperature,Activation time,SBET,C,O,N,atom,conditions,capacitance,agent_enc,sample/agent_enc
Cotton_4,KOH,1:6,800,90.0,2307.0,92.6,7.4,0.0,0.0,1.0,283.0,2,8
Cotton_5,KOH,1:7,800,90.0,2436.0,92.1,7.9,0.0,0.0,1.0,267.0,2,9
Perilla frutescens_1,steam,1:1,600,120.0,480.0,64.47,30.97,2.4,2.16,0.5,231.0,5,1
Perilla frutescens_2,steam,1:1,700,120.0,655.0,67.78,28.04,2.17,2.01,0.5,270.0,5,1
Perilla frutescens_3,steam,1:1,800,120.0,712.0,73.8,22.56,1.88,1.76,0.5,250.0,5,1
Sakura petals_4,steam,1:1,750,60.0,267.04,69.11,30.2,0.69,0.0,1.0,69.9,5,1
Cauliflower,steam,1:1,1000,180.0,1139.0,92.62,6.92,0.46,0.0,0.5,228.9,5,1
banana peel wastes,steam,1:1,900,60.0,383.0,92.99,4.84,1.79,0.38,0.2,206.0,5,1
banana peel wastes and yeast,steam,1:1,900,60.0,1084.0,92.16,5.47,2.06,0.31,0.2,384.0,5,1
Bean dergs,KOH,1:3,700,60.0,2876.0,85.71,1.64,9.93,2.72,1.0,482.0,2,5
Human hair_1,KOH,1:2,700,60.0,1054.0,85.2,7.45,5.12,2.23,0.5,382.0,2,4
Human hair_2,KOH,1:2,800,60.0,1306.0,88.72,5.39,4.38,1.51,0.5,445.0,2,4
Human hair_3,KOH,1:2,900,60.0,669.0,92.3,4.28,1.96,1.46,0.5,362.0,2,4
LN sea weed_1,steam,1:1,600,180.0,746.0,85.9,11.5,2.6,0.0,0.2,255.0,5,1
LN sea weed_2,steam,1:1,600,180.0,746.0,81.8,15.0,3.2,0.0,0.2,201.0,5,1
LN sea weed_3,steam,1:1,600,180.0,746.0,81.8,15.8,2.4,0.0,0.2,125.0,5,1
LN sea weed_4,steam,1:1,750,180.0,1082.0,91.3,7.3,1.4,0.0,0.2,179.0,5,1
LN sea weed_5,steam,1:1,750,180.0,1082.0,86.9,11.8,1.3,0.0,0.2,188.0,5,1
LN sea weed_6,steam,1:1,750,180.0,1082.0,85.3,12.8,1.9,0.0,0.2,123.0,5,1
